mB,g,dxm,dym,dzm,IBxx,IByy,IBzz,Cd,kTh,kTo,tau,kp,damp
1.2,9.81,0.16,0.16,0.05,0.0123,0.0123,0.0123,0.1,1.076e-05,1.632e-07,0.015,1,1
1.2,9.81,0.16,0.16,0.05,0.0123,0.0123,0.0123,0.1,1.076e-05,1.632e-07,0.015,1,1
