numID,test_loss,test_mard,kempt,kabs,f,Gb,SG,Vg,p2,SI,Ipb,alpha,kd,beta,Vi,ka2,ke,bolusD,r2
1,3.5370579,2.0173774,0.26224630682542915,0.006427207,0.9,105.73394325935841,0.035399758,1.45,0.007152295,0.000566534,0.9266337871551513,7,0.014208706,13.572487235069275,0.126,0.007896957,0.127,4.629132464528084,0.8124
2,4.471791,3.4906967,0.2646952602281235,0.00917567,0.9,74.79698886957765,0.029689118,1.45,0.014113667464256288,0.000662253,1.0759407833218575,7,0.014443031013011932,14.620889648795128,0.126,0.011810448801517487,0.127,4.991326838731766,0.8124
3,2.3830776,1.3675494,0.2378932631313801,0.006798957,0.9,118.08017195910215,0.036330822,1.45,0.017002521635591985,0.000488982,1.1623811200261116,7,0.032419975441694254,13.931803107261658,0.126,0.019663819916546345,0.127,5.449314571917057,0.8124
4,16.605183,11.838283,0.26516478998959064,0.006305177,0.9,85.33014437314868,0.036856566670394386,1.45,0.017605138877034188,0.000375867,1.0001543015241623,7,0.013671881824731827,14.605630785226822,0.126,0.007361947,0.127,5.0706972777843475,0.8124
5,3.169566,1.741346,0.26444748575147237,0.006412173,0.9,113.06259024050831,0.036586289,1.45,0.017243158373236655,0.000385179,0.947135505,7,0.017827233,17.16438167542219,0.126,0.010573939692974092,0.127,5.107941843569279,0.8124
6,3.8236055,1.9360539,0.2607891413066536,0.006322521,0.9,102.55042050468921,0.036074948,1.45,0.00633117,0.001042034,1.2981905691325664,7,0.013763599103689192,12.813871577382088,0.126,0.0095962,0.127,5.672531120479107,0.8124
7,12.004193,8.942392,0.26530874071712607,0.006350248,0.9,97.09786473,0.0368223,1.45,0.01762213,0.000376479,1.1590057387948036,7,0.013681451350450515,12.069074258208275,0.126,0.007373238,0.127,6.177531696856022,0.8124
8,5.3139453,4.1923447,0.26524992359499444,0.00699176,0.9,75.49658191797137,0.036765396,1.45,0.017506261802092197,0.000379059,0.9258206605911254,7,0.013751202887296676,18.003594115376472,0.126,0.007386431,0.127,4.651279688,0.8124
9,13.630772,9.655931,0.2641992024513893,0.006303966,0.9,104.20994209966062,0.036839949123677794,1.45,0.017514156724512578,0.000376354,0.9991367042064667,7,0.013667650622129438,11.121675923466682,0.126,0.007362342,0.127,4.803064256906509,0.8124
10,4.260828,2.3536673,0.094772066,0.006307729,0.9,113.71015396499634,0.036819676,1.45,0.017347366,0.000377354,0.9203860193490982,7,0.013695739388465881,12.987408980727196,0.126,0.007366032,0.127,4.264694064855576,0.8124
