best epoch, train loss, train accuracy, valid loss, valid accuracy, test loss, test accuracy
010, 74.18, 100.00, 72.60, 100.00, 72.60, 100.00
006, 36.65, 100.00, 36.69, 100.00, 36.69, 100.00
010, 54.16, 100.00, 52.94, 100.00, 52.94, 100.00
010, 32.97, 100.00, 32.30, 100.00, 32.30, 100.00
010, 30.40, 100.00, 30.30, 100.00, 30.30, 100.00
010, 103.06, 100.00, 102.03, 100.00, 102.03, 100.00
010, 95.48, 100.00, 94.78, 100.00, 94.78, 100.00
017, 2.74, 100.00, 2.68, 100.00, 2.68, 100.00
010, 60.47, 100.00, 59.60, 100.00, 59.60, 100.00
010, 54.83, 100.00, 54.57, 100.00, 54.57, 100.00
010, 31.64, 100.00, 30.90, 100.00, 30.90, 100.00
010, 39.07, 100.00, 38.41, 100.00, 38.41, 100.00
013, 2.30, 100.00, 2.23, 100.00, 2.23, 100.00
000, 0.00, 0.00, 0.00, 0.00, 0.00, 0.00
010, 75.30, 100.00, 74.63, 100.00, 74.63, 100.00
010, 34.50, 100.00, 34.46, 100.00, 34.46, 100.00
010, 42.01, 100.00, 41.37, 100.00, 41.37, 100.00
010, 46.88, 100.00, 46.26, 100.00, 46.26, 100.00
010, 121.28, 100.00, 120.33, 100.00, 120.33, 100.00
010, 36.77, 100.00, 36.04, 100.00, 36.04, 100.00
010, 32.21, 100.00, 31.33, 100.00, 31.33, 100.00
010, 26.38, 100.00, 25.92, 100.00, 25.92, 100.00
010, 37.20, 100.00, 36.51, 100.00, 36.51, 100.00
008, 41.08, 100.00, 41.06, 100.00, 41.06, 100.00
010, 17.06, 100.00, 16.48, 100.00, 16.48, 100.00
010, 30.55, 100.00, 29.95, 100.00, 29.95, 100.00
010, 24.25, 100.00, 24.10, 100.00, 24.10, 100.00
010, 114.66, 100.00, 113.88, 100.00, 113.88, 100.00
010, 111.93, 100.00, 110.68, 100.00, 110.68, 100.00
007, 13.23, 100.00, 12.93, 100.00, 12.93, 100.00
010, 41.71, 100.00, 41.04, 100.00, 41.04, 100.00
005, 13.01, 100.00, 12.87, 100.00, 12.87, 100.00
010, 49.49, 100.00, 49.48, 100.00, 49.48, 100.00
010, 75.53, 100.00, 74.51, 100.00, 74.51, 100.00
010, 82.97, 100.00, 82.08, 100.00, 82.08, 100.00
008, 16.15, 100.00, 15.93, 100.00, 15.93, 100.00
014, 0.45, 100.00, 0.16, 100.00, 0.16, 100.00
013, 2.06, 100.00, 1.92, 100.00, 1.92, 100.00
012, 1.37, 100.00, 1.11, 100.00, 1.11, 100.00
002, 1.65, 100.00, 0.24, 100.00, 0.24, 100.00
000, 0.00, 0.00, 0.00, 0.00, 0.00, 0.00
014, 0.93, 100.00, 0.52, 100.00, 0.52, 100.00
013, 1.52, 100.00, 0.94, 100.00, 0.94, 100.00
014, 2.20, 100.00, 0.23, 100.00, 0.23, 100.00
011, 0.90, 100.00, 0.56, 100.00, 0.56, 100.00
014, 0.23, 100.00, 0.23, 100.00, 0.23, 100.00
009, 0.12, 100.00, 0.07, 100.00, 0.07, 100.00
014, 1.66, 100.00, 1.43, 100.00, 1.43, 100.00
014, 1.52, 100.00, 1.46, 100.00, 1.46, 100.00
010, 0.30, 100.00, 0.24, 100.00, 0.24, 100.00
000, 0.00, 0.00, 0.00, 0.00, 0.00, 0.00
014, 0.77, 100.00, 0.53, 100.00, 0.53, 100.00
014, 1.36, 100.00, 0.89, 100.00, 0.89, 100.00
012, 3.31, 100.00, 2.69, 100.00, 2.69, 100.00
012, 0.89, 100.00, 0.46, 100.00, 0.46, 100.00
014, 0.30, 100.00, 0.23, 100.00, 0.23, 100.00
009, 0.36, 100.00, 0.13, 100.00, 0.13, 100.00
013, 1.72, 100.00, 1.93, 100.00, 1.93, 100.00
010, 1.51, 100.00, 1.29, 100.00, 1.29, 100.00
014, 0.39, 100.00, 0.26, 100.00, 0.26, 100.00
000, 0.00, 0.00, 0.00, 0.00, 0.00, 0.00
013, 0.86, 100.00, 0.39, 100.00, 0.39, 100.00
013, 1.39, 100.00, 1.13, 100.00, 1.13, 100.00
004, 9.13, 100.00, 1.41, 100.00, 1.41, 100.00
014, 0.60, 100.00, 0.48, 100.00, 0.48, 100.00
013, 0.46, 100.00, 0.25, 100.00, 0.25, 100.00
014, 8.01, 100.00, 8.00, 100.00, 8.00, 100.00
010, 4.85, 100.00, 4.82, 100.00, 4.82, 100.00
014, 8.05, 100.00, 8.02, 100.00, 8.02, 100.00
013, 4.19, 100.00, 4.05, 100.00, 4.05, 100.00
014, 42.52, 100.00, 42.44, 100.00, 42.44, 100.00
014, 7.46, 100.00, 7.45, 100.00, 7.45, 100.00
014, 4.51, 100.00, 4.49, 100.00, 4.49, 100.00
014, 12.97, 100.00, 12.95, 100.00, 12.95, 100.00
011, 4.97, 100.00, 4.93, 100.00, 4.93, 100.00
009, 4.96, 100.00, 4.93, 100.00, 4.93, 100.00
014, 8.03, 100.00, 8.02, 100.00, 8.02, 100.00
010, 5.00, 100.00, 4.90, 100.00, 4.90, 100.00
014, 8.08, 100.00, 8.04, 100.00, 8.04, 100.00
014, 4.68, 100.00, 4.70, 100.00, 4.70, 100.00
014, 42.42, 100.00, 42.38, 100.00, 42.38, 100.00
014, 7.33, 100.00, 7.32, 100.00, 7.32, 100.00
014, 4.73, 100.00, 4.65, 100.00, 4.65, 100.00
014, 13.02, 100.00, 12.98, 100.00, 12.98, 100.00
014, 24.47, 100.00, 24.35, 100.00, 24.35, 100.00
014, 22.35, 100.00, 22.28, 100.00, 22.28, 100.00
